2,San Jose Diridon Caltrain Station,37.329732,-121.901782,27,San Jose,8/6/2013
3,San Jose Civic Center,37.330698,-121.888979,15,San Jose,8/5/2013
4,Santa Clara at Almaden,37.333988,-121.894902,11,San Jose,8/6/2013
5,Adobe on Almaden,37.331415,-121.8932,19,San Jose,8/5/2013
6,San Pedro Square,37.336721,-121.894074,15,San Jose,8/7/2013
7,Paseo de San Antonio,37.333798,-121.886943,15,San Jose,8/7/2013
8,San Salvador at 1st,37.330165,-121.885831,15,San Jose,8/5/2013
9,Japantown,37.348742,-121.894715,15,San Jose,8/5/2013
10,San Jose City Hall,37.337391,-121.886995,15,San Jose,8/6/2013
11,MLK Library,37.335885,-121.88566,19,San Jose,8/6/2013
12,SJSU 4th at San Carlos,37.332808,-121.883891,19,San Jose,8/7/2013
13,St James Park,37.339301,-121.889937,15,San Jose,8/6/2013
14,Arena Green / SAP Center,37.332692,-121.900084,19,San Jose,8/5/2013
16,SJSU - San Salvador at 9th,37.333955,-121.877349,15,San Jose,8/7/2013
21,Franklin at Maple,37.481758,-122.226904,15,Redwood City,8/12/2013
22,Redwood City Caltrain Station,37.486078,-122.232089,25,Redwood City,8/15/2013
23,San Mateo County Center,37.487616,-122.229951,15,Redwood City,8/15/2013
24,Redwood City Public Library,37.484219,-122.227424,15,Redwood City,8/12/2013
25,Stanford in Redwood City,37.48537,-122.203288,15,Redwood City,8/12/2013
26,Redwood City Medical Center,37.487682,-122.223492,15,Redwood City,8/12/2013
27,Mountain View City Hall,37.389218,-122.081896,15,Mountain View,8/16/2013
28,Mountain View Caltrain Station,37.394358,-122.076713,23,Mountain View,8/15/2013
29,San Antonio Caltrain Station,37.40694,-122.106758,23,Mountain View,8/15/2013
30,Evelyn Park and Ride,37.390277,-122.066553,15,Mountain View,8/16/2013
31,San Antonio Shopping Center,37.400443,-122.108338,15,Mountain View,12/31/2013
32,Castro Street and El Camino Real,37.385956,-122.083678,11,Mountain View,12/31/2013
33,Rengstorff Avenue / California Street,37.400241,-122.099076,15,Mountain View,8/16/2013
34,Palo Alto Caltrain Station,37.443988,-122.164759,23,Palo Alto,8/14/2013
35,University and Emerson,37.444521,-122.163093,11,Palo Alto,8/15/2013
36,California Ave Caltrain Station,37.429082,-122.142805,15,Palo Alto,8/14/2013
37,Cowper at University,37.448598,-122.159504,11,Palo Alto,8/14/2013
38,Park at Olive,37.4256839,-122.1377775,15,Palo Alto,8/14/2013
41,Clay at Battery,37.795001,-122.39997,15,San Francisco,8/19/2013
42,Davis at Jackson,37.79728,-122.398436,15,San Francisco,8/19/2013
45,Commercial at Montgomery,37.794231,-122.402923,15,San Francisco,8/19/2013
46,Washington at Kearney,37.795425,-122.404767,15,San Francisco,8/19/2013
